feature,rmse_increase_mean,rmse_increase_std,r2_drop_mean,r2_drop_std,score,snr
c_1,0.052818425,0.0059500947,0.10306371189653873,0.013649398778578688,0.9999999999889682,7.55078766185187
Grain_1,0.044014346,0.0069421814,0.08354648016393185,0.015115736593079562,0.7846897487111103,5.527119346380699
a_1,0.007581885,0.0018340666,0.012609286233782768,0.0031235441946181036,0.0021246155355115555,4.0368521922858775
b_1,0.007468739,0.0018603266,0.012416696175932884,0.003175908680290279,0.0,3.9096515114182515
