group,rmse_increase_mean,rmse_increase_std,r2_drop_mean,r2_drop_std,size,score,per_feature,snr,rank
AB_*,0.17688618036532439,0.01937034010077652,0.5313696078956127,0.07848824704977918,13,0.9999999999980886,0.04087458522273629,6.770053197287423,1
CurrentDensity,0.11013479237347662,0.019279008209757136,0.2904600016772747,0.06401451296807144,1,0.539531835087221,0.2904600016769842,4.537408600103077,2
Lattice_1,0.09236394726457478,0.009210288016763608,0.2331327609717846,0.02769301604770106,4,0.4299580835817019,0.058283190242931576,8.418467694591167,3
C_*,0.05420554878409825,0.00609624808307471,0.12516731768846512,0.01582574790190869,12,0.22359582878061376,0.010430609807371224,7.909093362055895,4
Lattice_2,0.004029458254691403,0.0022554689281241006,0.00818554311990738,0.004606956456403923,4,0.0,0.002046385779976333,1.7767789202244888,5
