group,rmse_increase_mean,rmse_increase_std,r2_drop_mean,r2_drop_std,size,score,per_feature,snr,rank
CurrentDensity,0.24724714,0.013947901,0.7873689532279968,0.06580439079235052,1,0.9999999999987074,0.7873689532272093,11.965295077354622,1
AB_*,0.18045582,0.009475964,0.4979328215122223,0.03637277419286132,13,0.6258670532136394,0.038302524731706464,13.689712499198345,2
Lattice_1,0.117736936,0.0069935024,0.27800023183226585,0.021736585237646117,4,0.34157625861500235,0.06950005795804909,12.789508047381842,3
C_*,0.10875745,0.01218185,0.2512614540755749,0.035269950198641334,12,0.3070129936340925,0.02093845450629616,7.123952618400068,4
Lattice_2,0.008200387,0.004041852,0.013750553131103516,0.007104828074653267,4,0.0,0.0034376382827750194,1.9353815440269038,5
