compounds,pred_mean,pred_std
ScO,1.44902654211016,0.10743520107119155
ScO2,1.4202556937077804,0.10625792506901169
ScO3,1.4202556937077804,0.11750309047662774
ScO4,1.3939381826678787,0.11750309047662774
ScO5,1.4202556937077804,0.11750309047662774
ScO6,1.3939381826678787,0.11750309047662774
ScO7,1.3939381826678787,0.11750309047662774
ScO8,1.3939381826678787,0.11750309047662774
ScO9,1.303608720376175,0.11750309047662774
ScO10,1.2784627590560687,0.11750309047662774
Sc2O3,1.4753440531500617,0.10835338125246172
Sc2O5,1.4753440531500617,0.10625792506901169
Sc2O7,1.4753440531500617,0.11750309047662774
Sc2O9,1.3939381826678787,0.11750309047662774
Sc3O4,1.4202556937077804,0.10625792506901169
Sc3O5,1.4202556937077804,0.10625792506901169
Sc3O7,1.4202556937077804,0.18487562894998225
Sc3O8,1.4202556937077804,0.11750309047662774
Sc3O10,1.3939381826678787,0.11750309047662774
Sc4O5,1.4202556937077804,0.11850731449108402
Sc4O7,1.4202556937077804,0.10625792506901169
Sc4O9,1.4202556937077804,0.18487562894998225
Sc5O6,1.4202556937077804,0.10625792506901169
Sc5O7,1.4202556937077804,0.10625792506901169
Sc5O8,1.4202556937077804,0.10625792506901169
Sc5O9,1.4202556937077804,0.18487562894998225
Sc6O7,1.4202556937077804,0.10625792506901169
TiO,1.4075403477772173,0.09273023652924883
TiO2,1.4753440531500617,0.09715354293143105
TiO3,1.4202556937077804,0.18487562894998225
TiO4,1.3939381826678787,0.11750309047662774
TiO5,1.4202556937077804,0.11750309047662774
TiO6,1.3939381826678787,0.11750309047662774
TiO7,1.3939381826678787,0.11750309047662774
TiO8,1.3939381826678787,0.11750309047662774
TiO9,1.3939381826678787,0.11750309047662774
TiO10,1.3939381826678787,0.11750309047662774
Ti2O3,1.4753440531500617,0.11850731449108402
Ti2O5,1.4202556937077804,0.10625792506901169
Ti2O7,1.4753440531500617,0.11750309047662774
Ti2O9,1.3939381826678787,0.11750309047662774
Ti3O4,1.4753440531500617,0.10625792506901169
Ti3O5,1.4202556937077804,0.18487562894998225
Ti3O7,1.4202556937077804,0.11750309047662774
Ti3O8,1.4202556937077804,0.11750309047662774
Ti3O10,1.3939381826678787,0.11750309047662774
Ti4O5,1.4202556937077804,0.10625792506901169
Ti4O7,1.4202556937077804,0.10625792506901169
Ti4O9,1.4202556937077804,0.11750309047662774
Ti5O6,1.4753440531500617,0.10625792506901169
Ti5O7,1.4753440531500617,0.10625792506901169
Ti5O8,1.4753440531500617,0.18487562894998225
Ti5O9,1.4753440531500617,0.10743520107119155
Ti6O7,1.4753440531500617,0.16903513166196327
Ti9O10,1.4376870304686207,0.09273023652924883
VO,1.4366361241488312,0.08385585846966773
VO2,1.4376870304686207,0.07935594237619303
VO3,1.4753440531500617,0.10625792506901169
VO4,1.4202556937077804,0.11750309047662774
VO5,1.4202556937077804,0.11750309047662774
VO6,1.4753440531500617,0.11750309047662774
VO7,1.4753440531500617,0.11750309047662774
VO8,1.3939381826678787,0.11750309047662774
VO9,1.3939381826678787,0.11750309047662774
VO10,1.3939381826678787,0.11750309047662774
V2O3,1.4376870304686207,0.08385585846966773
V2O5,1.4332219484250621,0.09715354293143105
V2O7,1.4753440531500617,0.16903513166196327
V2O9,1.4753440531500617,0.11750309047662774
V3O4,1.4360664802642134,0.08385585846966773
V3O5,1.4360664802642134,0.08385585846966773
V3O7,1.4203689220093172,0.08959419476238148
V3O8,1.4753440531500617,0.16903513166196327
V3O10,1.4202556937077804,0.11750309047662774
V4O5,1.4847786293427314,0.06631071006320054
V4O7,1.4376870304686207,0.07435997630226085
V4O9,1.4376870304686207,0.08385585846966773
V5O6,1.4847786293427314,0.06631071006320054
V5O7,1.4847786293427314,0.06631071006320054
V5O8,1.4376870304686207,0.07935594237619303
V5O9,1.4376870304686207,0.08385585846966773
CrO2,1.4360664802642134,0.07935594237619303
CrO3,1.4202556937077804,0.10625792506901169
CrO4,1.3939381826678787,0.11750309047662774
CrO5,1.4202556937077804,0.11750309047662774
CrO6,1.4753440531500617,0.11750309047662774
CrO7,1.4753440531500617,0.11750309047662774
CrO8,1.3939381826678787,0.11750309047662774
CrO9,1.3939381826678787,0.11750309047662774
CrO10,1.3939381826678787,0.11750309047662774
Cr3O4,1.4366361241488312,0.09273023652924883
Cr3O5,1.4785124501874478,0.0778650955965928
Cr3O7,1.4366361241488312,0.08385585846966773
Cr3O8,1.432126358535067,0.14589880769506644
Cr3O10,1.4286459926369555,0.09273023652924883
Cr4O5,1.4853482732273493,0.06631071006320054
Cr4O7,1.4893501235143334,0.06631071006320054
Cr4O9,1.4286459926369555,0.08385585846966773
Cr5O6,1.4366361241488312,0.0637530591863883
Cr5O7,1.4366361241488312,0.07935594237619303
Cr5O8,1.4366361241488312,0.07935594237619303
Cr5O9,1.4366361241488312,0.08385585846966773
MnO,1.4081099916618351,0.06953771988946637
MnO2,1.4406379744358153,0.14589880769506644
MnO3,1.4376870304686207,0.14589880769506644
MnO4,1.3940514109694155,0.09907585496806305
MnO5,1.4091608979816246,0.09273023652924883
MnO6,1.4091608979816246,0.09273023652924883
MnO7,1.3940514109694155,0.09907585496806305
MnO8,1.44902654211016,0.10743520107119155
MnO9,1.44902654211016,0.11750309047662774
MnO10,1.3939381826678787,0.11750309047662774
Mn2O3,1.4360664802642134,0.14589880769506644
Mn2O5,1.4376870304686207,0.14589880769506644
Mn2O7,1.4360664802642134,0.09273023652924883
Mn2O9,1.3940514109694155,0.09907585496806305
Mn3O4,1.4360664802642134,0.08385585846966773
Mn3O5,1.4360664802642134,0.08385585846966773
Mn3O7,1.4376870304686207,0.09273023652924883
Mn3O8,1.4376870304686207,0.09273023652924883
Mn3O10,1.44902654211016,0.10743520107119155
Mn4O5,1.4376870304686207,0.07935594237619303
Mn4O7,1.4360664802642134,0.08385585846966773
Mn4O9,1.4360664802642134,0.09273023652924883
Mn5O6,1.4360664802642134,0.08385585846966773
Mn5O7,1.4360664802642134,0.08385585846966773
Mn5O8,1.4360664802642134,0.14589880769506644
Mn5O9,1.4360664802642134,0.09273023652924883
Mn6O7,1.4360664802642134,0.14589880769506644
Mn7O8,1.4360664802642134,0.09273023652924883
Mn7O9,1.433857858817119,0.09273023652924883
Mn7O10,1.4091608979816246,0.09273023652924883
Mn8O9,1.4091608979816246,0.09273023652924883
Mn9O10,1.44902654211016,0.10743520107119155
FeO,1.4785124501874478,0.0778650955965928
FeO2,1.4366361241488312,0.08385585846966773
FeO3,1.4286459926369555,0.08385585846966773
FeO4,1.4286459926369555,0.09273023652924883
FeO5,1.4360664802642134,0.09273023652924883
FeO6,1.4360664802642134,0.09273023652924883
FeO7,1.4360664802642134,0.09273023652924883
FeO8,1.4091608979816246,0.09273023652924883
FeO9,1.4176464893145402,0.09907585496806305
FeO10,1.44902654211016,0.10743520107119155
Fe2O3,1.4121118419488192,0.09273023652924883
Fe2O5,1.4121118419488192,0.09273023652924883
Fe2O7,1.4001198601499594,0.09273023652924883
Fe2O9,1.4075403477772173,0.09273023652924883
Fe4O5,1.4366361241488312,0.0637530591863883
Fe4O7,1.4366361241488312,0.08385585846966773
Fe4O9,1.4366361241488312,0.14589880769506644
Fe5O6,1.4366361241488312,0.08385585846966773
Fe5O7,1.4366361241488312,0.08385585846966773
Fe5O8,1.4366361241488312,0.14589880769506644
Fe5O9,1.432126358535067,0.09273023652924883
CoO,1.4785124501874478,0.0778650955965928
CoO2,1.432126358535067,0.08385585846966773
CoO3,1.4360664802642134,0.14589880769506644
CoO4,1.4360664802642134,0.09273023652924883
CoO5,1.4286459926369555,0.09273023652924883
CoO6,1.4286459926369555,0.09273023652924883
CoO7,1.426437371189861,0.09273023652924883
CoO8,1.4075403477772173,0.09273023652924883
CoO9,1.4091608979816246,0.09273023652924883
CoO10,1.44902654211016,0.10743520107119155
Co3O4,1.5659310077289093,0.014872168771636213
Co3O5,1.5958724506433604,0.022761724894333084
Co3O7,1.4785124501874478,0.05807820875049579
Co3O8,1.4785124501874478,0.05807820875049579
Co3O10,1.4366361241488312,0.0778650955965928
Co4O5,1.4785124501874478,0.05807820875049579
Co4O7,1.4785124501874478,0.0637530591863883
Co4O9,1.4366361241488312,0.0778650955965928
NiO,1.4499863177004517,0.08610547746829636
NiO2,1.4366361241488312,0.11924696204066276
NiO3,1.4366361241488312,0.08385585846966773
NiO4,1.4366361241488312,0.0628828892883848
NiO5,1.4366361241488312,0.0778650955965928
NiO6,1.4366361241488312,0.0628828892883848
NiO7,1.4366361241488312,0.08385585846966773
NiO8,1.4366361241488312,0.09273023652924883
NiO9,1.4406379744358153,0.09273023652924883
NiO10,1.433857858817119,0.09273023652924883
Ni4O5,1.5272245992659659,0.05327276693797944
Ni4O7,1.4366361241488312,0.1128478703924764
Ni4O9,1.4366361241488312,0.08385585846966773
CuO,1.4081099916618351,0.08610547746829636
CuO2,1.4366361241488312,0.09273023652924883
CuO3,1.4366361241488312,0.09273023652924883
CuO4,1.4081099916618351,0.09273023652924883
CuO5,1.4366361241488312,0.09273023652924883
CuO6,1.4344275027017368,0.09273023652924883
CuO7,1.4081099916618351,0.09273023652924883
CuO8,1.4081099916618351,0.09273023652924883
CuO9,1.4121118419488192,0.09273023652924883
CuO10,1.4001198601499594,0.09273023652924883
Cu2O3,1.4496112734389628,0.07766186822080162
Cu2O5,1.4081099916618351,0.09273023652924883
Cu2O7,1.4081099916618351,0.09273023652924883
Cu2O9,1.4036002260480709,0.09273023652924883
Cu4O5,1.4091608979816246,0.09273023652924883
Cu4O7,1.4075403477772173,0.09273023652924883
Cu4O9,1.4075403477772173,0.09273023652924883
ZnO2,1.4785124501874478,0.07093409060128304
ZnO3,1.4785124501874478,0.0778650955965928
ZnO4,1.4785124501874478,0.08610547746829636
ZnO5,1.4366361241488312,0.08610547746829636
ZnO6,1.4366361241488312,0.08610547746829636
ZnO7,1.4366361241488312,0.06953771988946637
